Name,ID,Text,Sound,DurationOverride,Speaker
lore_isl_manifesto_west_01,lore_isl_manifesto_west_01,decrypting... it's a document. he wrote this himself.,,3.5,Pangolier
lore_isl_manifesto_west_02,lore_isl_manifesto_west_02,the title page just says 'WHY WE LOSE',,2.5,Pangolier
lore_isl_manifesto_west_03,lore_isl_manifesto_west_03,first line — 'the West did not lose its strength. it lost its appetite for it',,4.5,Pangolier
lore_isl_manifesto_west_04,lore_isl_manifesto_west_04,chat it's EIGHTY pages. he wrote eighty pages of this,,3.5,Pangolier
lore_isl_manifesto_west_05,lore_isl_manifesto_west_05,footnotes citing real philosophers mixed with stuff i don't recognize,,4.0,Pangolier
lore_isl_manifesto_west_06,lore_isl_manifesto_west_06,yeah he thinks he's saving us,,2.5,Pangolier
lore_isl_speech_drafts_01,lore_isl_speech_drafts_01,this is a stack of his public speeches,,2.5,Pangolier
lore_isl_speech_drafts_02,lore_isl_speech_drafts_02,the polished version says 'we share commitment to human flourishing',,4.0,Pangolier
lore_isl_speech_drafts_03,lore_isl_speech_drafts_03,and then in the margin he wrote — 'cut. they'll google this. just say values.',,5.0,Pangolier
lore_isl_speech_drafts_04,lore_isl_speech_drafts_04,every speech. there's a real version and a public version,,3.5,Pangolier
lore_isl_speech_drafts_05,lore_isl_speech_drafts_05,this one says 'do not mention the methodology. simplify or they panic',,4.5,Pangolier
lore_isl_speech_drafts_06,lore_isl_speech_drafts_06,he doesn't even hate them chat. he just thinks they're stupid,,4.0,Pangolier
lore_isl_israel_admiration_01,lore_isl_israel_admiration_01,okay this is a personal journal entry,,2.5,Pangolier
lore_isl_israel_admiration_02,lore_isl_israel_admiration_02,he writes... 'flew to tel aviv again',,2.5,Pangolier
lore_isl_israel_admiration_03,lore_isl_israel_admiration_03,'they understand what we have forgotten. when civilization is threatened you act.',,5.0,Pangolier
lore_isl_israel_admiration_04,lore_isl_israel_admiration_04,'i pray our nations one day match their resolve. lunch with [REDACTED]. illuminating.',,5.0,Pangolier
lore_isl_israel_admiration_05,lore_isl_israel_admiration_05,chat he visits like every six weeks. it's all in the log.,,3.5,Pangolier
lore_isl_israel_admiration_06,lore_isl_israel_admiration_06,this is just one entry. there are dozens,,2.5,Pangolier
lore_isl_oath_burden_01,lore_isl_oath_burden_01,oh this is... an oath? he reads daily?,,2.5,Pangolier
